gene_id	WT1	WT2	HOTTIP_KO1	HOTTIP_KO2
Acacb	9.20308363062418	15.86665195619	5.40334657120955	7.04676377228386
Acsl6	1.58339732090213	2.33885839505073	0.918206658918158	0.960967648370401
Acta1	3959.17436193278	6795.3918945832	2467.85360506065	2683.19829380094
Actr3b	2.69930386837839	3.7122017064031	1.49416625272854	1.50743222866197
Agbl1	1.15754352967726	1.51856511190311	0.361674255093167	0.741248646171499
Amot	6.31133541005684	10.6666267503145	3.60613246959482	4.269373244321
Aqp7	0.993549207344491	1.47187414955023	0.351552671488658	0.459132698995469
Asb16	6.46088884795416	10.2674568978537	2.86107605515127	4.11224285644041
Bcl3	23.6773116140806	8.67145624696776	37.0172573861	31.5779610200585
Best3	0.993666280600008	1.91118309744781	0.337759321651708	0.56909718404512
Car4	1.34808861131957	1.62116031957638	0.530412629757815	0.431633382434637
Casr	0.411442693672171	0.579805348236784	0.289862378298839	0.16367255319906
Ccr6	0.205807952169553	0.476618934846573	0	0.0277100926682227
Chit1	2.04582982084648	1.25616110368934	4.2815682655935	2.91488187355289
Chrna1	1.28391131247897	2.37940756837488	0.468588935439638	0.922508754039611
Clec3a	16.217933549124	7.48553046909333	24.9583581108225	26.2655882351151
Clec4e	28.1502582535076	9.78548082340453	42.5875432477999	39.3240956803439
Coch	0.379180239404219	0.0849795442702031	1.20537132486357	0.880664768799068
Cpeb3	1.84404424526272	3.22463927691138	1.00846819845481	1.22018077434686
Crhr2	3.24279056065049	5.21622027578994	1.57166475240624	2.39431868378357
Dmd	2.82893376270466	4.43417248738774	1.43188058893388	2.04419507818041
Dok7	0.888861677870057	1.41541258045311	0.466122677884693	0.673182063758635
Efcab2	4.78914050935895	5.10765049162679	2.37192004658142	2.56652318912311
Efr3b	0.91813556546458	1.61929602933408	0.500015259253554	0.685275154724359
Eps8l1	0.380261680372217	0.0177545646191385	0.601397564200605	0.631983161460869
Fam160a1	4.01105203555831	6.59041293648217	2.81277381273163	2.35183147109325
Fam179a	0.391694840833259	1.31676359714711	0.116152409978152	0.049441877531045
Fsd2	25.3934878536668	45.5844867047064	16.4100600979567	15.9790258682493
Gm2808	0.241279476901725	0.250342931082525	0.0423991328983587	0.0631672177789604
Gm35498	9.3020408149192	4.51688510816433	14.9076665972424	13.3592719629621
Gm9780	0.187457647353966	0.0525148194270829	2.31247404343498	0.709858063717366
Gpld1	0.695509920086117	0.270180573327861	1.03837548134981	0.936438273355778
Hmgcs2	0.323811175908946	0.38099549322053	0.891087155918001	0.850163140630213
Hoxa11	0.396258265484029	0.0261196960262327	0.752036088695084	0.847362038297582
Hs3st3a1	0.16272067329429	0.0303899641535827	0.450360075250911	0.506640963316949
Hspb3	6.89692928027215	12.7787853685524	3.30472196722347	4.27526637162974
Igfbp2	1.27875727986948	0.29501625638656	3.31911654975721	2.9623808729576
Il1r2	16.3006742748416	5.38749652186762	28.924123714111	24.7793732053571
Kbtbd13	1.99387631344378	3.82443727063788	0.937493525264888	1.08833745572295
